"Aceptar.diferencia","Participacion","Aula.abierta","Aprendizaje"
"Rechaza uno o más grupos",13,19,25
"Rechaza uno o más grupos",16,22,24
"Rechaza uno o más grupos",16,24,18
"Rechaza uno o más grupos",11,20,25
"Rechaza uno o más grupos",12,14,11
"Rechaza uno o más grupos",10,16,13
"Rechaza uno o más grupos",20,19,17
"Rechaza uno o más grupos",11,21,24
"Rechaza uno o más grupos",13,20,28
"Rechaza uno o más grupos",14,12,28
"Rechaza uno o más grupos",19,15,14
"Rechaza uno o más grupos",9,18,16
"Rechaza uno o más grupos",11,18,13
"Rechaza uno o más grupos",15,18,22
"Rechaza uno o más grupos",17,17,17
"Acepta todos los grupos",13,19,19
"Rechaza uno o más grupos",12,17,24
NA,17,20,25
"Rechaza uno o más grupos",14,24,11
"Rechaza uno o más grupos",12,17,26
"Rechaza uno o más grupos",10,20,16
"Acepta todos los grupos",14,20,28
"Rechaza uno o más grupos",19,19,21
"Rechaza uno o más grupos",9,18,18
"Rechaza uno o más grupos",14,21,25
"Rechaza uno o más grupos",17,22,26
"Rechaza uno o más grupos",13,23,22
"Rechaza uno o más grupos",17,19,26
"Rechaza uno o más grupos",13,23,26
"Rechaza uno o más grupos",16,18,18
"Rechaza uno o más grupos",13,22,21
"Rechaza uno o más grupos",13,20,22
"Rechaza uno o más grupos",17,19,22
"Rechaza uno o más grupos",12,18,19
"Rechaza uno o más grupos",17,18,27
"Rechaza uno o más grupos",17,24,25
"Rechaza uno o más grupos",20,23,21
"Acepta todos los grupos",10,18,9
"Rechaza uno o más grupos",10,15,21
"Rechaza uno o más grupos",14,20,25
"Rechaza uno o más grupos",17,18,NA
"Rechaza uno o más grupos",12,15,17
"Rechaza uno o más grupos",11,6,17
"Rechaza uno o más grupos",11,13,15
"Rechaza uno o más grupos",14,16,NA
"Rechaza uno o más grupos",12,14,13
"Rechaza uno o más grupos",10,20,14
"Rechaza uno o más grupos",17,20,21
"Rechaza uno o más grupos",10,17,19
"Acepta todos los grupos",13,18,19
"Rechaza uno o más grupos",9,6,7
"Rechaza uno o más grupos",11,13,NA
"Rechaza uno o más grupos",15,16,16
"Rechaza uno o más grupos",13,21,17
"Rechaza uno o más grupos",15,24,24
"Rechaza uno o más grupos",10,21,21
"Acepta todos los grupos",10,6,16
"Rechaza uno o más grupos",NA,22,19
"Rechaza uno o más grupos",15,24,20
"Rechaza uno o más grupos",12,22,18
"Rechaza uno o más grupos",13,24,21
"Rechaza uno o más grupos",16,18,21
"Rechaza uno o más grupos",13,20,21
"Acepta todos los grupos",17,24,23
"Rechaza uno o más grupos",15,15,7
"Acepta todos los grupos",10,14,9
"Rechaza uno o más grupos",16,21,24
"Rechaza uno o más grupos",18,22,20
"Rechaza uno o más grupos",15,19,18
"Acepta todos los grupos",17,22,23
"Rechaza uno o más grupos",20,17,21
"Rechaza uno o más grupos",20,23,28
